Customer_ID,Marital_Status,SSN,Occupation,Num_Bank_Accounts,Num_Credit_Cards,Credit_Utilization_Ratio,Outstanding_Debt,Monthly_Balance,Credit_Score,Credit_Mix,Num_Loans,Loan_Types,Credit_Inquiries,Total_EMI,Min_Amount_Paid,Payment_Behaviour,Collateral_Type,Collateral_Value,Interest_Rate,Due_Date_Delay,Delayed_Payments,Credit_Limit_Change
12,Single,221-30-8554,Teacher,5,5,31.13948358493632,1328.93_,443.88279713203934,Standard,Standard,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",8.0,65.00817428651536,Yes,High_spent_Large_value_payments,Vehicle,0,20,16,17,11.0
13,Single,802-67-7093,Entrepreneur,5,5,30.730728444867964,843.59,545.3251353621292,Good,Good,1,Mortgage Loan,4.0,117.5147098890878,No,Low_spent_Medium_value_payments,Property,58230,10,6,14,4.32
14,Married,414-53-2918,Entrepreneur,6,4,32.8788050668308,179.22,147.15801969696355,Standard,Standard,3,"Not Specified, Student Loan, and Personal Loan",7.0,124.39208242092043,Yes,Low_spent_Small_value_payments,Stocks,55015,14,10,8,5.54
15,Single,877-77-1295,Musician,6,4,22.61281144988358,998.45,281.66460594286457,Standard,_,3,"Personal Loan, Mortgage Loan, and Home Equity Loan",6.0,14.302914114617195,Yes,Low_spent_Small_value_payments,Property,65335,17,6,13,7.7
16,Widowed,655-05-7666,Entrepreneur,8,7,39.33348789822524,758.44,230.44100130267208,Standard,Standard,5_,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",5.0,101.3286373638512,Yes,Low_spent_Medium_value_payments,Property,197862,14,15,13_,7.83
17,Single,#F%$D@*&8,Scientist,6,6,36.012793772472094,818.22,421.4853318638867,Standard,Standard,2,"Payday Loan, and Home Equity Loan",1.0,45.14129822463578,Yes,Low_spent_Large_value_payments,Property,180744,7,8,16,6.28
18,Separated,370-83-2145,Writer,9,6,32.54217722038521,2197.4,258.7865789195414,Poor,Standard,7,"Not Specified, Not Specified, Student Loan, Mortgage Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",7.0,44.96331561979034,NM,!@9#%8,Stocks,142438,22,19,16,17.51
19,Separated,928-91-4452,Teacher,6,7,27.930123710625228,1283.37,117.02910735933534,Standard,Standard,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",10.0,103.03756035536594,Yes,Low_spent_Small_value_payments,Bonds,131504,17,13,12,2.2200000000000006
20,Separated,084-25-3745,Musician,6,6,33.89444259920451,107.41,947.6102963746632,Good,Standard,0,,1.0,629.8156531464217,Yes,High_spent_Medium_value_payments,Property,186933,12,18,8,17.92
21,Single,#F%$D@*&8,Entrepreneur,6,7,23.70919322410504,2430.21,263.4785537238393,Standard,Bad,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",8.0,49.57206224445275,Yes,Low_spent_Medium_value_payments,Stocks,0,17,53,19,9.95
22,Divorced,561-60-9294,Musician,7,5,27.182482771287628,881.4,278.1928400258838,Poor,Standard,0,,2.0,0.0,No,Low_spent_Medium_value_payments,Bonds,188850,17,30,15,4.17
23,Married,905-50-7912,Media_Manager,7,5,36.83702882243363,1672.43,288.747638140847,Poor,Bad,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",6.0,37.58807283812568,Yes,Low_spent_Small_value_payments,No Collateral,131295,17,48,21,7.97
24,Separated,335-49-3815,Entrepreneur,4,4,30.858021699728788,449.06,230.67309409921657,Standard,Standard,-100,"Auto Loan, Personal Loan, Auto Loan, Student Loan, Credit-Builder Loan, and Personal Loan",11.0,228.4814754216084,Yes,Low_spent_Large_value_payments,Vehicle,0,19,32,10,16.04
25,Widowed,706-95-0150,Lawyer,5,5,34.125305925956305,569.8,275.2344649444218,Poor,Standard,3,"Not Specified, Student Loan, and Student Loan",7.0,26.060347529205966,Yes,Low_spent_Medium_value_payments,Bonds,51195,10,25,20,21.79
26,Single,#F%$D@*&8,Lawyer,8,5,34.63917129146202,145.03,427.8744466657336,Standard,_,6,"Not Specified, Mortgage Loan, Credit-Builder Loan, Not Specified, Auto Loan, and Home Equity Loan",9.0,611.2866937353463,Yes,High_spent_Large_value_payments,Stocks,179321,17,18,19,9.51
27,Divorced,#F%$D@*&8,Entrepreneur,8,1381,35.344187616472155,614.6,375.96322611424887,Standard,_,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",3.0,42.22199265643221,No,High_spent_Large_value_payments,Property,163595,14,22,14,8.129999999999999
28,Married,467-13-1148,Writer,9,8,35.11893274172206,2686.81,150.5458133501653,Standard,Standard,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",13.0,185.1119825795006,Yes,!@9#%8,Stocks,54257,25,52,12,13.96
29,In a Relationship,663-16-3845,Accountant,3,3,34.718643637980016,1233.1,493.0191349532733,Standard,Standard,1,Debt Consolidation Loan,8.0,30.57608482316153,Yes,Low_spent_Large_value_payments,Bonds,116533,18,11,8,8.97
30,Single,978-17-0096,Scientist,6,9,26.912928310854486,1825.94,287.42961614475917,Standard,Bad,5,"Student Loan, Auto Loan, Student Loan, Mortgage Loan, and Mortgage Loan",15.0,156.19372984003382,NM,High_spent_Small_value_payments,No Collateral,0,23,46,16,8.99
31,Engaged,933-41-6144,Accountant,6,3,26.326324791138944,461.36,466.890868554656,Standard,Standard,3,"Debt Consolidation Loan, Mortgage Loan, and Credit-Builder Loan",2.0,83.78711315855989,No,High_spent_Large_value_payments,Bonds,168457,10,25,12,1.59
32,Widowed,889-07-2357,Scientist,1,5,33.75820397193409,413.32,265.3434531718558,Standard,Good,2,"Auto Loan, and Home Equity Loan",4.0,29.534583720496048,No,Low_spent_Medium_value_payments,Property,125172,1,5,6,6.83
33,Separated,425-47-6723,Musician,7,7,38.78895428776155,1793.54,264.78665581884655,Poor,Bad,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",7.0,65.13948777561222,Yes,Low_spent_Small_value_payments,Bonds,141724,19,31,18,5.07
34,In a Relationship,602-55-1355,Engineer,4,3,32.25544266260322,1489.49,277.37409296681784,Standard,Standard,2,"Mortgage Loan, and Payday Loan",7.0,16.719300227776053,Yes,Low_spent_Small_value_payments,Property,100091,10,28,17,11.8
35,Married,679-26-6464,Writer,8,5,28.260146747054986,98.97,215.9920995688854,Standard,Standard,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",10.0,149.89719942100822,Yes,Low_spent_Medium_value_payments,Vehicle,97581,9,18,20,21.58
36,Single,253-91-2822,Scientist,2,7,38.69215906784695,556.91,431.0904514153552,Good,Good,3,"Auto Loan, Auto Loan, and Not Specified",4.0,102.76291311709039,No,High_spent_Large_value_payments,No Collateral,0,10,4,10,2.58
37,Single,#F%$D@*&8,Manager,3,6,34.983562067394985,1293.02,391.1249366446912,Good,Standard,1,Not Specified,0.0,53.92351397165268,Yes,Low_spent_Medium_value_payments,Bonds,76705,15,5,6,10.44
38,Engaged,995-37-8920,Mechanic,7,7,32.96295024281038,3421.66,379.0315766450331,Poor,Bad,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",11.0,69.68545857227979,Yes,High_spent_Medium_value_payments,Stocks,124510,24,53,21,26.94
39,Married,431-58-4893,_______,4,5,38.17098242520041,1173.7,556.9042896166172,Standard,Standard,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",5.0,215.83917063897172,No,High_spent_Medium_value_payments,Property,68672,17,15,19,-1.2599999999999998
40,Engaged,700-60-3660,Musician,67,5,29.706453768241733,1693.95,308.76189362947565,Poor,Standard,4,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",9.0,43.07051960231588,Yes,!@9#%8,Vehicle,98292,32,12,17,11.24
41,Separated,216-01-1461,Entrepreneur,9,6,31.987171896630354,2029.21,328.88380924586056,Standard,Standard,-100,"Student Loan, Personal Loan, Home Equity Loan, and Not Specified",9.0,105.0869893608941,Yes,High_spent_Medium_value_payments,No Collateral,167928,31,27,14,18.45
42,Single,037-08-1260,Manager,5,3,25.05038983145419,1241.94,436.3852305586458,Poor,_,4,"Not Specified, Mortgage Loan, Personal Loan, and Auto Loan",0.0,155.36704202552642,NM,Low_spent_Large_value_payments,Bonds,156249,8,24,15,2.18
43,In a Relationship,905-95-5824,Mechanic,4,3,38.46042212220244,349.48,265.6081832747293,Good,Good,1,Auto Loan,0.0,20.626402290174244,No,Low_spent_Small_value_payments,Vehicle,0,4,2,12,5.69
44,In a Relationship,815-82-2603,Media_Manager,4,7,30.530881296907893,1422.84,368.5300778768086,Standard,Standard,4,"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Not Specified",3.0,142.96344781536104,Yes,Low_spent_Small_value_payments,Property,80405,16,6,14_,12.69
45,Engaged,473-91-5845,Lawyer,3,4,40.605388381855605,949.38,799.437983215134,Good,Good,3,"Personal Loan, Mortgage Loan, and Payday Loan",1.0,364.9151774048712,No,High_spent_Medium_value_payments,No Collateral,0,5,16,8,9.2
46,Single,#F%$D@*&8,_______,4,2,41.51328788148247,1095.73,879.7520667701468,Good,Good,0,,3.0,81050.0,No,High_spent_Large_value_payments,Bonds,135306,3,12,7,6.43
47,Single,925-51-5335,Entrepreneur,10,10,38.02568458368197,3422.49,199.99991470063443,Standard,Bad,8,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",11.0,314.90178526768176,Yes,High_spent_Small_value_payments,Property,145047,18,27,18,_
48,Single,911-47-6879,_______,7,10,35.201445477378066,2797.17,202.9925647570092,Standard,_,9,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",11.0,58.86844083860843,NM,Low_spent_Small_value_payments,Bonds,96036,33,61,26,8.82
49,Widowed,587-65-8904,Teacher,2,6,35.622883365649685,680.77,573.112506174297,Good,Good,2,"Auto Loan, and Payday Loan",0.0,19734.0,NM,High_spent_Medium_value_payments,Stocks,116111,8,2,8,10.98
50,Engaged,999-28-9483,Musician,3,1,27.358790743748564,78.09,375.5233444729688,Good,Good,2,"Student Loan, and Payday Loan",3.0,21.99594319256204,No,High_spent_Small_value_payments,Stocks,168507,11,11,7,5.76
51,Divorced,532-19-8738,Scientist,9,9,37.363003174381696,1308.52,92.14286698258059,Poor,Bad,9,"Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, Student Loan, Payday Loan, Auto Loan, Home Equity Loan, and Not Specified",9.0,392.1095205298218,Yes,Low_spent_Small_value_payments,Vehicle,122560,17,20,24,-3.44
52,Single,738-74-7100,Journalist,8,9,37.54407639997727,1404.99,347.4899997455613,Poor,_,4,"Personal Loan, Mortgage Loan, Credit-Builder Loan, and Not Specified",7.0,117.8338399423386,Yes,!@9#%8,Stocks,180084,16,33,22,6.88
53,Married,#F%$D@*&8,Developer,9,9,34.97086572389593,3119.6,303.082106174993,Standard,Bad,-100,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",14.0,133.47084524343262,NM,High_spent_Small_value_payments,Vehicle,166985,16,57,22,17.25
54,Married,#F%$D@*&8,Architect,4,4,40.50656243407137,226.72,263.5431823187104,Standard,Good,2,"Personal Loan, and Student Loan",1.0,54.98819406838797,No,Low_spent_Small_value_payments,Property,111092,3,14,12_,10.9
55,In a Relationship,101-11-3105,_______,4,3,31.114765992863326,1154.46,1120.751173160778,Standard,Good,0,,3.0,0.0,No,High_spent_Medium_value_payments,No Collateral,70651,11,18,8,13.92
56,Widowed,716-35-4628,_______,6,3,32.70581750680671,2431.64,334.03365167485015,Standard,Standard,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",10.0,57.35116518894053,Yes,Low_spent_Medium_value_payments,Vehicle,0,7,5,15,15.06
57,Widowed,908-69-0212,Entrepreneur,8,7,39.05658586366771,125.25,245.46829232812638,Good,Standard,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",5.0,95.8007129241996,No,Low_spent_Medium_value_payments,Stocks,80969,6,15,19,5.79
58,Separated,758-17-1797,Manager,10,9,40.839516963468256,2276.35,311.78514694584936,Poor,_,4,"Credit-Builder Loan, Student Loan, Personal Loan, and Payday Loan",6.0,75.89867167271956,NM,High_spent_Small_value_payments,Vehicle,0,24,37,19,6.77
59,Separated,423-77-6457,Scientist,10,7,26.204679512706328,3042.36,229.36516592196102,Poor,Bad,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",11.0,485.75043098703753,Yes,!@9#%8,Property,60981,20,49,18,6.81
60,Widowed,430-60-9262,Architect,1,2,22.9235015001929,305.09,287.72388888852765,Good,Good,4,"Payday Loan, Student Loan, Mortgage Loan, and Student Loan",6.0,70.46849009261322,No,High_spent_Small_value_payments,Stocks,0,6,13,9,1.02
61,Married,794-17-4490,Journalist,8,5,32.94553478945882,1936.79,416.90940018452966,Poor,Bad,3,"Mortgage Loan, Personal Loan, and Not Specified",11.0,102.28339754384292,Yes,High_spent_Large_value_payments,Vehicle,0,31,62,21,9.81
62,Married,226-77-0587,_______,10,8,30.813295101757607,4834.59,185.85523446234862,Poor,Bad,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",12.0,78.41827155188288,Yes,Low_spent_Small_value_payments,Vehicle,0,20,54,21,23.58
63,Separated,#F%$D@*&8,Architect,7,8,37.76619277876175,2141.5,172.7650026703743,Standard,Bad,5,"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Auto Loan, and Credit-Builder Loan",14.0,175.96541476157017,Yes,Low_spent_Medium_value_payments,Vehicle,0,17,57,20,7.85
64,Separated,761-11-3016,Musician,5,2,38.41963347541724,325.93,579.759333180964,Good,Good,3,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",6.0,211.1843903373817,No,Low_spent_Medium_value_payments,Bonds,100350,8,15,6,11.01
65,Widowed,241-28-1551,Architect,8,7,27.090921411798018,781.83,673.5261864966732,Good,Standard,3,"Home Equity Loan, Not Specified, and Credit-Builder Loan",7.0,176.24348698377483,Yes,!@9#%8,Property,60083,5,30,15,17.31
66,Separated,027-76-6435,Accountant,1,3,27.30041720369295,783.77,384.54927770008277,Standard,Good,-100,"Personal Loan, and Not Specified",6.0,20.366031738448275,NM,High_spent_Medium_value_payments,Property,0,7,19,1,4.86
67,Separated,278-75-1218,Journalist,7,9,28.848762526086865,4106.36,135.3814921279837,Poor,_,8,"Personal Loan, Auto Loan, Personal Loan, Personal Loan, Credit-Builder Loan, Payday Loan, Student Loan, and Payday Loan",12.0,393.03989367317115,Yes,High_spent_Small_value_payments,Property,0,21,51,21,24.97
68,Married,017-34-7557,Doctor,4,7,38.41702017675685,812.01,301.4830008983548,Poor,Standard,3,"Mortgage Loan, Debt Consolidation Loan, and Debt Consolidation Loan",5.0,46.129408623488615,Yes,Low_spent_Small_value_payments,Property,117741,5,4,12,9.83
69,Married,004-57-0116,Media_Manager,8,5,32.46157965214408,1284.84,192.90985485833625,Poor,Standard,5,"Credit-Builder Loan, Auto Loan, Home Equity Loan, Home Equity Loan, and Student Loan",7.0,77407.0,NM,Low_spent_Small_value_payments,Stocks,0,31,18,14,7.56
70,Single,755-18-0308,Architect,5,6,22.960527669460905,580.31,369.370450498305,Standard,Standard,4,"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",4.0,64.84803820501804,No,Low_spent_Small_value_payments,Bonds,169505,5,19,20,8.36
71,Married,547-23-7195,Doctor,8,8,25.09430322022676,2497.48,159.89049738267485,Poor,Bad,6,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",13.0,148.91327341500903,Yes,!@9#%8,Property,112862,2724,24,20,9.78
72,Single,486-07-1289,Scientist,0,3,25.51813893799737,1045.11,430.6042858705389,Good,_,2,"Payday Loan, and Not Specified",1.0,1293.5054487288114,No,Low_spent_Medium_value_payments,Bonds,71277,7,14,5,6.08
73,Married,605-63-9678,Engineer,5,4,40.39063355179525,523.56,348.83649599209014,Standard,Standard,7,"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",5.0,96.72128021256924,Yes,!@9#%8,No Collateral,0,14,26,9,23.8
74,Married,558-25-1337,Mechanic,2,3,39.538108644227655,327.88,209.55769711416406,Good,Good,2,"Home Equity Loan, and Student Loan",3.0,24.821424978660396,No,Low_spent_Small_value_payments,No Collateral,175939,9,6,6,3.9
75,Married,813-91-8749,Scientist,8,9,37.82197102652432,4984.82,271.92958653361853,Standard,_,5_,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",10.0,36.67512791916932,Yes,High_spent_Small_value_payments,Stocks,152291,31,61,15,29.52
76,Divorced,961-11-6259,Journalist,6,7,26.782800106078273,501.57,960.9700472261233,Standard,Standard,4,"Personal Loan, Payday Loan, Debt Consolidation Loan, and Mortgage Loan",5.0,262.71035130797515,Yes,High_spent_Large_value_payments,Property,62785,20,29,15,8.559999999999999
77,Engaged,386-34-3584,Journalist,7,8,38.770834273008944,1996.6,312.91947062899794,Standard,Bad,6,"Home Equity Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Personal Loan",8.0,47104.0,Yes,High_spent_Large_value_payments,Vehicle,135184,28,26,22,18.63
78,Engaged,548-03-9919,Mechanic,8,5,39.49437696715399,996.54,448.04879135194807,Standard,Standard,0,,0.0,0.0,Yes,Low_spent_Small_value_payments,Property,78878,17,8,10,7.0600000000000005
79,Married,013-67-5026,Accountant,1,5,28.29835302678576,1454.59,804.0731358155709,Good,_,1,Payday Loan,3.0,52.441528460186966,No,High_spent_Large_value_payments,Vehicle,82314,5,-5,9,8.89
80,Separated,898-94-0497,Architect,6,5,25.359340485549847,1093.87,310.34986473168436,Standard,Standard,1,Home Equity Loan,2.0,10.535555607461252,No,High_spent_Medium_value_payments,Property,188501,5,10,21,5.62
81,Separated,992-49-2793,Accountant,6,6,29.38080624152673,3818.57,282.5953720880596,Poor,Bad,7,"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",14.0,248.59988585543798,Yes,High_spent_Medium_value_payments,Property,154580,29,46,19,23.21
82,Single,352-67-4436,Accountant,8,4,33.68265491389942,730.9,265.0158122010706,Standard,Standard,2,"Student Loan, and Auto Loan",0.0,20.06363388435491,No,Low_spent_Medium_value_payments,Property,51720,16,7,16,5.65
83,Engaged,887-23-0031,Entrepreneur,10,10,34.84686738265064,2816.57,325.5124085015017,Standard,Bad,5,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, and Personal Loan",7.0,55.67362562029084,Yes,High_spent_Small_value_payments,Vehicle,60458,21,42,22,21.69
84,Separated,423-55-1106,Musician,8,3,38.72664216329371,1301.87,385.81966038916977,Standard,Standard,2,"Mortgage Loan, and Personal Loan",2.0,34.61158479652975,Yes,High_spent_Medium_value_payments,Stocks,124056,14,2,14,11.53
85,Single,837-45-5178,Journalist,8,5,36.16238356879063,668.14,577.1799067891537,Good,Standard,2,"Mortgage Loan, and Mortgage Loan",5.0,662.7777405037292,Yes,Low_spent_Medium_value_payments,Bonds,0,15,9,16,9.89
86,Single,074-21-6507,Writer,7,5,28.62288043181345,660.69,251.82376063810585,Standard,Standard,3,"Personal Loan, Payday Loan, and Auto Loan",4.0,58.48765733950958,Yes,Low_spent_Medium_value_payments,No Collateral,117547,12,17,20,11.53
87,Engaged,014-29-7065,Developer,8,7,26.58085906624721,2573.1,243.2648835868422,Poor,Bad,8,"Student Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, Not Specified, Auto Loan, Payday Loan, and Home Equity Loan",9.0,34.700690030537515,Yes,Low_spent_Large_value_payments,Property,169192,20,25,17_,5.65
88,Single,835-41-6871,_______,6,8,38.6482220212851,1549.56,366.7335361311181,Poor,Bad,5,"Mortgage Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",12.0,214.07212305606225,NM,Low_spent_Small_value_payments,Bonds,0,31,26,22,10.52
89,In a Relationship,927-06-6848,Engineer,4,5,38.419201131315496,1221.97,718.3733650129019,Standard,Standard,2,"Credit-Builder Loan, and Payday Loan",5.0,125.46648428785791,Yes,High_spent_Small_value_payments,Bonds,134102,17,15,13,10.02
90,Married,#F%$D@*&8,Entrepreneur,6,5,38.251219533747104,2034.89,302.1989438255491,Poor,Bad,5,"Mortgage Loan, Auto Loan, Home Equity Loan, Not Specified, and Student Loan",8.0,35.92089436940842,Yes,Low_spent_Small_value_payments,No Collateral,68312,29,22,19,18.07
91,Divorced,212-32-2085,Engineer,3,5,31.053994287668022,565.22,393.93677282675986,Poor,Good,0,,3.0,0.0,No,!@9#%8,Vehicle,99004,6,5,10,8.61
92,In a Relationship,087-22-6137,Musician,3,3,39.12793593553803,519.3,1005.2827675576056,Standard,Standard,0_,,4.0,760.6082756978756,No,High_spent_Medium_value_payments,Stocks,180935,18,15,16,4.94
93,Engaged,000-08-1349,Media_Manager,5,5,37.343552153038274,1256.89,603.2857094158983,Good,_,2,"Payday Loan, and Auto Loan",2.0,87.37564919357271,No,High_spent_Medium_value_payments,No Collateral,82061,12,24,13,8.46
94,Widowed,727-40-9990,Journalist,4,3,25.687375053748628,635.59,415.8783985445714,Poor,Standard,1,Student Loan,5.0,17.69844332156168,Yes,Low_spent_Small_value_payments,No Collateral,199002,6,22,18,19.05
95,Single,#F%$D@*&8,Architect,6,5,32.491575969702374,35.54,393.3845202156908,Standard,Standard,0,,5.0,0.0,Yes,Low_spent_Small_value_payments,Bonds,73021,7,12,17,_
96,Divorced,328-52-8554,Entrepreneur,8,5,26.48456039747252,699.69,146.64574255113462,Standard,Standard,4,"Not Specified, Home Equity Loan, Student Loan, and Auto Loan",5.0,93.50672065002836,Yes,Low_spent_Small_value_payments,No Collateral,0,6,29,13,7.72
97,Single,518-01-2262,Scientist,9,9,38.3374492978831,3589.56,423.9815768794014,Standard,_,5,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15.0,171.34555972446432,NM,High_spent_Small_value_payments,Vehicle,174066,18,23,15,17.24
98,Married,465-93-9571,_______,5,6,35.74253976687775,1194.28,214.90341991912206,Good,Good,2,"Personal Loan, and Payday Loan",2.0,56.311420513415115,No,Low_spent_Small_value_payments,Vehicle,54303,12,11,2,4.18
99,Divorced,860-36-1556,Writer,3,4,37.536347664994494,404.51,479.8240343967524,Standard,Standard,4,"Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",2.0,414.65601320398537,Yes,High_spent_Small_value_payments,Property,87196,15,3,12,10.1
100,Divorced,407-06-9232,Media_Manager,3,6,35.89139750893054,1113.06,25.29240814195305,Good,Standard,4,"Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan",2.0,37514.0,Yes,Low_spent_Small_value_payments,Bonds,138595,6,14,20,7.57
